Title,Name,Date,Medium,Dimensions,Acquisition Date,Department,Classification,Height (cm),Width (cm),,
"Werner House, Berlin-Zehlendorf, Germany (Basement plan)",Ludwig Mies van der Rohe,1913,Print,"13 3/4 x 10 1/2"" (34.9 x 26.7 cm)",,Architecture & Design,Mies van der Rohe Archive,34.92506985,26.67005334,,
"Werner House, Berlin-Zehlendorf, Germany (Second floor and attic plans)",Ludwig Mies van der Rohe,1913,Print,"12 3/4 x 9 1/4"" (32.4 x 23.5 cm)",,Architecture & Design,Mies van der Rohe Archive,32.38506477,23.49504699,,
"Werner House, Berlin-Zehlendorf, Germany (Ground floor plan)",Ludwig Mies van der Rohe,1913,Print,"14 x 11"" (35.6 x 27.9 cm)",,Architecture & Design,Mies van der Rohe Archive,35.56007112,27.94005588,,
"Urbig House, Potsdam-Neubabelsberg, Germany (Sections, staircase)",Ludwig Mies van der Rohe,1915,Print,"24 3/4 x 24 3/4"" (62.9 x 62.9 cm)",,Architecture & Design,Mies van der Rohe Archive,62.86512573,62.86512573,,
"Urbig House, Potsdam-Neubabelsberg, Germany (Elevations, sections. Chimney details.)",Ludwig Mies van der Rohe,1915,Print,"18 1/4 x 22"" (46.4 x 55.9 cm)",,Architecture & Design,Mies van der Rohe Archive,46.35509271,55.88011176,,
"Friedrichstrasse Skyscraper, project, Berlin-Mitte, Germany, Elevation study",Ludwig Mies van der Rohe,1921,Charcoal,"21 3/4 x 34 1/2"" (55.3 x 87.6 cm)",5/10/66,Architecture & Design,Mies van der Rohe Archive,55.3,87.6,,
"Friedrichstrasse Skyscraper Project, Berlin-Mitte, Germany (Exterior perspective from north)",Ludwig Mies van der Rohe,1921,Charcoal and graphite on paper mounted on board,"68 1/4 x 48"" (173.4 x 121.9 cm)",1/11/66,Architecture & Design,Mies van der Rohe Archive,173.4,121.9,,
"Friedrichstrasse Skyscraper Project, Berlin-Mitte, Germany",Ludwig Mies van der Rohe,1921,Acrylic,"16 x 18 5/8 x 17 1/4"" (40.6 x 47.3 x 43.8 cm)",10/7/86,Architecture & Design,Architecture,40.6,47.3076,,
"Friedrichstrasse Skyscraper Project, Berlin-Mitte, Germany (Typical floor plan)",Ludwig Mies van der Rohe,1921,Vandyke print with pencil,"23 1/2 x 25 1/4"" (59.7 x 64.1 cm)",,Architecture & Design,Mies van der Rohe Archive,59.7,64.1,,
"Friedrichstrasse Skyscraper, project, Berlin-Mitte, Germany, Urban context model",Ludwig Mies van der Rohe,1921,"Acrylic plastic, styrene plastic, syntactic polyurethane board, cast urethane, latex paint","16 1/8 x 44 5/16 x 55"" (40.9 x 112.5 x 139.7 cm)",5/13/03,Architecture & Design,Architecture,40.8941,112.5222,,
"Eichstaedt House, Berlin-Nikolassee, Germany, Landscape model",Ludwig Mies van der Rohe,1921,"Laser cut and scored plexiglass, styrene products, wood veneer, wire, paint, birch-veneer plywood","10 x 28 x 28"" (25.4 x 71.1 x 71.1 cm)",5/13/03,Architecture & Design,Architecture,25.4001,71.1201,,
"Friedrichstrasse Skyscraper Project, Berlin-Mitte, Germany (Perspective)",Ludwig Mies van der Rohe,1921,Charcoal and pencil on paper,"42 3/4 x 29 1/2"" (108.6 x 74.9 cm)",,Architecture & Design,Mies van der Rohe Archive,108.5852172,74.93014986,,
"Friedrichstrasse Skyscraper Project, Berlin-Mitte, Germany",Ludwig Mies van der Rohe,1921,Print,"23 3/4 x 24 3/4"" (60.3 x 62.9 cm)",,Architecture & Design,Mies van der Rohe Archive,60.32512065,62.86512573,,
"Friedrichstrasse Skyscraper Project, Berlin-Mitte, Germany (Floor plan)",Ludwig Mies van der Rohe,1921,Ink on illustration board,"30 x 40"" (76.2 x 101.6 cm)",,Architecture & Design,Mies van der Rohe Archive,76.2001524,101.6002032,,
"Friedrichstrasse Skyscraper Project, Berlin-Mitte, Germany (Floor plan)",Ludwig Mies van der Rohe,1921,Ink on tracing paper,"23 3/4 x 25"" (60.3 x 63.5 cm)",,Architecture & Design,Mies van der Rohe Archive,60.32512065,63.500127,,
"Friedrichstrasse Skyscraper Project, Berlin-Mitte, Germany (Floor plan)",Ludwig Mies van der Rohe,1921,Pencil on tracing paper,"23 1/4 x 24 1/2"" (59.1 x 62.2 cm)",,Architecture & Design,Mies van der Rohe Archive,59.05511811,62.23012446,,
Glass Skyscraper project (Elevation study),Ludwig Mies van der Rohe,1922,Charcoal,"54 1/2 x 32 3/4"" (137.8 x 83.2 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,137.8,83.2,,
"Glass Skyscraper, project, no intended site known",Ludwig Mies van der Rohe,1922,Acrylic and paper,"24 1/8 x 9 3/8 x 8"" (61.3 x 23.8 x 20.3 cm)",10/7/86,Architecture & Design,Architecture,61.3,23.8,,
Glass Skyscraper project (View of lost model),Ludwig Mies van der Rohe,1922,Airbrushed gouache on gelatin silver print,"7 3/8 x 5 3/8"" (18.8 x 13.7 cm)",10/9/01,Architecture & Design,Architecture,18.8,13.6525,,
Glass Skyscraper Project (Floor plan),Ludwig Mies van der Rohe,1922,"Vandyke print with watercolor, pencil, and wax pencil","21 x 24 1/2"" (53.3 x 62.2 cm)",,Architecture & Design,Mies van der Rohe Archive,53.3,62.2301,,
"Glass Skyscraper, project",Ludwig Mies van der Rohe,1922,Ink on tracing paper,"20 3/4 x 24"" (52.7 x 61 cm)",,Architecture & Design,Mies van der Rohe Archive,52.70510541,60.96012192,,
Glass Skyscraper Project (Floorplan),Ludwig Mies van der Rohe,1922,Ink on illustration board,"30 x 40"" (76.2 x 101.6 cm)",,Architecture & Design,Mies van der Rohe Archive,76.2001524,101.6002032,,
"Glass Skyscraper, project",Ludwig Mies van der Rohe,1922,Pencil on tracing paper,"30 1/2 x 37 3/4"" (77.5 x 95.9 cm)",,Architecture & Design,Mies van der Rohe Archive,77.47015494,95.88519177,,
"Kempner House, Charlottenburg, Berlin, Germany",Ludwig Mies van der Rohe,1922,Print,"29 1/4 x 38"" (74.3 x 96.5 cm)",,Architecture & Design,Mies van der Rohe Archive,74.29514859,96.52019304,,
"Kempner House, Charlottenburg, Berlin, Germany (Caretaker's apartment, oriel details. Elevation, sections.)",Ludwig Mies van der Rohe,1922,Pencil and colored pencil on tracing paper,"31 x 35 1/2"" (78.7 x 90.2 cm)",,Architecture & Design,Mies van der Rohe Archive,78.74015748,90.17018034,,
"Kempner House, Charlottenburg, Berlin, Germany (Oriel, details. Elevation and sections.)",Ludwig Mies van der Rohe,1922,Pencil and colored pencil on tracing paper,"30 x 35 1/2"" (76.2 x 90.2 cm)",,Architecture & Design,Mies van der Rohe Archive,76.2001524,90.17018034,,
"Kempner House, Charlottenburg, Berlin, Germany (Verandah sliding window. Elevation and sections.)",Ludwig Mies van der Rohe,1922,Pencil and colored pencil on tracing paper,"10 1/2 x 24 1/2"" (26.7 x 62.2 cm)",,Architecture & Design,Mies van der Rohe Archive,26.67005334,62.23012446,,
"Kempner House, Charlottenburg, Berlin, Germany (Window, elevation and detail sections.)",Ludwig Mies van der Rohe,1922,Pencil and colored pencil on tracing paper,"32 x 41"" (81.3 x 104.1 cm)",,Architecture & Design,Mies van der Rohe Archive,81.28016256,104.1402083,,
"Kempner House, Charlottenburg, Berlin, Germany (Staircase from basement to second floor. Sections.)",Ludwig Mies van der Rohe,1922,Pencil on tracing paper,"23 x 21 1/4"" (58.4 x 54 cm)",,Architecture & Design,Mies van der Rohe Archive,58.42011684,53.97510795,,
"Kempner House, Charlottenburg, Berlin, Germany (Staircase in caretaker's apartment. Plan, elevation, and detail sketches.)",Ludwig Mies van der Rohe,1922,Pencil on tracing paper,"16 1/4 x 21 3/4"" (41.3 x 55.2 cm)",,Architecture & Design,Mies van der Rohe Archive,41.27508255,55.24511049,,
"Kempner House, Charlottenburg, Berlin, Germany (Accordian grates. Detail sections.)",Ludwig Mies van der Rohe,1922,Pencil and colored pencil on tracing paper,"18 1/4 x 18"" (46.4 x 45.7 cm)",,Architecture & Design,Mies van der Rohe Archive,46.35509271,45.72009144,,
"Kempner House, Charlottenburg, Berlin, Germany (Accordian grates. Detail sections.)",Ludwig Mies van der Rohe,1922,Pencil and colored pencil on tracing paper,"22 x 27"" (55.9 x 68.6 cm)",,Architecture & Design,Mies van der Rohe Archive,55.88011176,68.58013716,,
"Kempner House, Charlottenburg, Berlin, Germany (Accordian grates. Detail sections.)",Ludwig Mies van der Rohe,1922,Pencil and colored pencil on tracing paper,"19 3/4 x 23 1/4"" (50.2 x 59.1 cm)",,Architecture & Design,Mies van der Rohe Archive,50.16510033,59.05511811,,
"Glass Skyscraper, project (Elevation [schematic view])",Ludwig Mies van der Rohe,1922,"Charcoal, chalk and crayon on paper","54 1/2 x 32 3/4"" (138.4 x 83.2 cm)",,Architecture & Design,Mies van der Rohe Archive,138.4302769,83.18516637,,
"Glass Skyscraper, project (Print of MR21.2)",Ludwig Mies van der Rohe,1922,Print,"20 1/2 x 23"" (52.1 x 58.4 cm)",,Architecture & Design,Mies van der Rohe Archive,52.07010414,58.42011684,,
"Glass Skyscraper, project (Typical floor plan)",Ludwig Mies van der Rohe,1922,Pencil on tracing paper,"20 1/2 x 24"" (52.1 x 61 cm)",,Architecture & Design,Mies van der Rohe Archive,52.07010414,60.96012192,,
"Eichstaedt House, Wannsee, Berlin (Stairs. Plan and section.)",Ludwig Mies van der Rohe,1922,Pencil on tracing paper,"18 x 15 1/2"" (45.7 x 39.4 cm)",,Architecture & Design,Mies van der Rohe Archive,45.72009144,39.37007874,,
"Eichstaedt House, Wannsee, Berlin, Germany (Window grills. Elevations and sections.)",Ludwig Mies van der Rohe,1922,Pencil on tracing paper,"10 x 14"" (25.4 x 35.6 cm)",,Architecture & Design,Mies van der Rohe Archive,25.4000508,35.56007112,,
"Eichstaedt House, Wannsee, Berlin, Germany (Verandah, balcony railings. Elevation and detail sections.)",Ludwig Mies van der Rohe,1922,Print,"19 1/2 x 22 1/2"" (49.5 x 57.2 cm)",,Architecture & Design,Mies van der Rohe Archive,49.53009906,57.1501143,,
"Eichstaedt House, Wannsee, Berlin (Stairs. Elevation, plan and sections.)",Ludwig Mies van der Rohe,1922,Pencil on tracing paper,"15 x 22 1/2"" (38.1 x 57.2 cm)",,Architecture & Design,Mies van der Rohe Archive,38.1000762,57.1501143,,
"Eichstaedt House, Wannsee, Berlin (Stairs. Elevation, plan and sections.)",Ludwig Mies van der Rohe,1922,Pencil on tracing paper,"15 x 22 1/2"" (38.1 x 57.2 cm)",,Architecture & Design,Mies van der Rohe Archive,38.1000762,57.1501143,,
"Feldmann House, Wilemsdorf, Berlin, Germany (Basement doors. Elevations and sections.)",Ludwig Mies van der Rohe,1922,Blueprint,"18 3/4 x 23 1/4"" (47.6 x 59.1 cm)",,Architecture & Design,Mies van der Rohe Archive,47.62509525,59.05511811,,
"Concrete Office Building Project, Berlin, Germany (Exterior perspective)",Ludwig Mies van der Rohe,1923,Charcoal and crayon on paper,"54 1/2 x 113 3/4"" (138.4 x 288.9 cm)",3/7/68,Architecture & Design,Mies van der Rohe Archive,138.4,288.9,,
"Concrete Country House Project, Perspective",Ludwig Mies van der Rohe,1923,Colored pastel and pencil on paper,"28 1/2 x 7' 2 1/2"" (72.4 x 219.7 cm)",,Architecture & Design,Mies van der Rohe Archive,72.4,219.7104,,
"Concrete Country House Project, Perspective",Ludwig Mies van der Rohe,1923,Pastel and graphite on paper,"33 3/4 x 7' 6"" (85.8 x 228.6 cm)",1/1/68,Architecture & Design,Mies van der Rohe Archive,85.8,228.6,,
"Concrete Office Building, project, Berlin, Germany (Letter with view of building)",Ludwig Mies van der Rohe,1923,Ink on paper,"5 1/2 x 8 3/4"" (14 x 22.2 cm)",3/7/68,Architecture & Design,Mies van der Rohe Archive,13.97002794,22.22504445,,
"G: Material zur elementaren Gestaltung no.1, July 1923","Hans Richter, El Lissitzky, Werner Graeff, Ludwig Mies van der Rohe, Frederick Kiesler",1923,Letterpress,"17 7/8 x 11 1/2"" (45.4 x 29.2 cm)",5/22/08,Architecture & Design,Design,45.40259081,29.21005842,,
"Concrete Country House Project, Perspective",Ludwig Mies van der Rohe,1923,Charcoal and pencil on paper mounted on board,"28 1/2 x 86"" (72.4 x 218.4 cm)",,Architecture & Design,Mies van der Rohe Archive,72.4,218.4404369,,
"Concrete Country House Project, Perspective",Ludwig Mies van der Rohe,1923,Charcoal and pencil on paper,"22 3/4 x 86 1/2"" (57.8 x 219.7 cm)",,Architecture & Design,Mies van der Rohe Archive,57.78511557,219.7104394,,
Brick Country House Project,Ludwig Mies van der Rohe,1924,Gelatin silver print,"38 1/2 x 58 1/2"" (97.8 x 148.6 cm)",,Architecture & Design,Mies van der Rohe Archive,97.8,148.6,,
Brick Country House Project,Ludwig Mies van der Rohe,1924,Ink on illustration board,"30 x 40"" (76.2 x 101.6 cm)",,Architecture & Design,Mies van der Rohe Archive,76.2001524,101.6002032,,
"Mosler House, Neubabelsberg, Germany (Bathroom windows. Detail section.)",Ludwig Mies van der Rohe,1924,Print,"22 3/4 x 23 3/4"" (57.8 x 60.3 cm)",,Architecture & Design,Mies van der Rohe Archive,57.78511557,60.32512065,,
"Mosler House, Neubabelsberg, Germany (Windows. Detail section.)",Ludwig Mies van der Rohe,1924,Pencil and colored pencil on print,"14 x 25 1/4"" (35.6 x 64.1 cm)",,Architecture & Design,Mies van der Rohe Archive,35.56007112,64.13512827,,
"Mosler House, Neubabelsberg, Germany (Second floor windows. Detail section.)",Ludwig Mies van der Rohe,1924,Print,"18 x 11 3/4"" (45.7 x 29.8 cm)",,Architecture & Design,Mies van der Rohe Archive,45.72009144,29.84505969,,
"Eliat House Project, Potsdam-Nedlitz, Germany, Plan and elevation",Ludwig Mies van der Rohe,1925,Pencil on tracing paper,"17 1/4 x 21"" (43.8 x 53.4 cm)",,Architecture & Design,Mies van der Rohe Archive,43.8,53.4,,
"Eliat House Project, Potsdam-Nedlitz, Germany, Plan and elevation",Ludwig Mies van der Rohe,1925,Pencil on tracing paper,"17 1/4 x 21"" (43.8 x 53.4 cm)",,Architecture & Design,Mies van der Rohe Archive,43.8,53.4,,
"Eliat House Project, Potsdam-Nedlitz, Germany, Site plan",Ludwig Mies van der Rohe,1925,Pencil on tracing paper,"21 3/4 x 39 1/2"" (55.2 x 100.4 cm)",,Architecture & Design,Mies van der Rohe Archive,55.2451,100.4,,
"Wolf House, Gubin, Poland, Plan. Roof, partial detail.",Ludwig Mies van der Rohe,1925,Pencil and colored pencil on tracing paper,"22 x 21 1/4"" (55.9 x 54 cm)",,Architecture & Design,Mies van der Rohe Archive,55.8801,54,,
"Wolf House, Gubin, Poland, Site plan",Ludwig Mies van der Rohe,1925,Diazotype with pencil and ink,"12 1/4 x 24 1/2"" (31.1 x 62.3 cm)",,Architecture & Design,Mies van der Rohe Archive,31.1,62.3,,
"Wolf House, Gubin, Poland",Ludwig Mies van der Rohe,1925,"Diazotype with pencil, colored pencil and chalk","16 1/4 x 16 1/2"" (41.2 x 41.9 cm)",,Architecture & Design,Mies van der Rohe Archive,41.2,41.9,,
"Wolf House, Gubin, Poland",Ludwig Mies van der Rohe,1925,Pencil on paper,"8 1/4 x 11 1/2"" (20.9 x 29.2 cm)",,Architecture & Design,Mies van der Rohe Archive,20.9,29.2,,
"Wolf House, Gubin, Germany, Landscape model",Ludwig Mies van der Rohe,1925,"Laser cut and scored acrylic, styrene, wood veneer, wire, paint, birch-veneer plywood","23 x 80 x 24"" (58.4 x 203.2 x 61 cm)",5/13/03,Architecture & Design,Architecture,58.4201,203.2004,,
"Eliat House Project, Potsdam-Nedlitz, Germany, Perspective",Ludwig Mies van der Rohe,1925,Pastel on paper,"12 1/4 x 24 1/4"" (31.1 x 61.6 cm)",10/18/05,Architecture & Design,Architecture,31.1151,61.5951,,
"Wolf House, Gubin, Poland, Plan",Ludwig Mies van der Rohe,1925,Pencil on tracing paper,"17 1/4 x 18 3/4"" (43.8 x 47.6 cm)",,Architecture & Design,Mies van der Rohe Archive,43.81508763,47.62509525,,
"Wolf House, Gubin, Poland, Ground-floor plan",Ludwig Mies van der Rohe,1925,Architectural print,"16 x 16"" (40.6 x 40.6 cm)",,Architecture & Design,Mies van der Rohe Archive,40.64008128,40.64008128,,
"Wolf House, Gubin, Poland, North and west elevations",Ludwig Mies van der Rohe,1925,Architectural print,"16 1/4 x 16 1/4"" (41.3 x 41.3 cm)",,Architecture & Design,Mies van der Rohe Archive,41.27508255,41.27508255,,
"Wolf House, Gubin, Poland (Elevation, plan, section)",Ludwig Mies van der Rohe,1925,Pencil and colored pencil on tracing paper,"24 3/4 x 30 3/4"" (62.9 x 78.1 cm)",,Architecture & Design,Mies van der Rohe Archive,62.86512573,78.10515621,,
"Wolf House, Gubin, Poland, Two sections",Ludwig Mies van der Rohe,1925,Architectural print,"16 x 16 1/4"" (40.6 x 41.3 cm)",,Architecture & Design,Mies van der Rohe Archive,40.64008128,41.27508255,,
"Wolf House, Gubin, Poland, Terrace stairs. Preliminary plan, elevation",Ludwig Mies van der Rohe,1925,Pencil on tracing paper,"20 1/4 x 25 1/4"" (51.4 x 64.1 cm)",,Architecture & Design,Mies van der Rohe Archive,51.43510287,64.13512827,,
"Wolf House, Gubin, Poland, Balcony and playground railing. Two elevations, sections.",Ludwig Mies van der Rohe,1925,Pencil on tracing paper,"25 x 29"" (63.5 x 73.7 cm)",,Architecture & Design,Mies van der Rohe Archive,63.500127,73.66014732,,
"Wolf House, Gubin, Poland, Second floor plan",Ludwig Mies van der Rohe,1925,Print,"14 x 15 1/4"" (35.6 x 38.7 cm)",,Architecture & Design,Mies van der Rohe Archive,35.56007112,38.73507747,,
"Wolf House, Gubin, Poland (Elevation, two sections. Garden shed door and and fastening of pergola trellis)",Ludwig Mies van der Rohe,1925,Pencil on tracing paper,"14 1/4 x 25 1/2"" (36.2 x 64.8 cm)",,Architecture & Design,Mies van der Rohe Archive,36.19507239,64.77012954,,
"Wolf House, Gubin, Poland (Ground floor plan)",Ludwig Mies van der Rohe,1925,Print,"14 1/4 x 15 1/4"" (36.2 x 38.7 cm)",,Architecture & Design,Mies van der Rohe Archive,36.19507239,38.73507747,,
"Wolf House, Gubin, Poland (South wall elevation)",Ludwig Mies van der Rohe,1925,Pencil on tracing paper,"16 3/4 x 28 3/4"" (42.5 x 73 cm)",,Architecture & Design,Mies van der Rohe Archive,42.54508509,73.02514605,,
"Wolf House, Gubin, Poland (Ground floor plan [final version])",Ludwig Mies van der Rohe,1925,Pencil on tracing paper,"26 1/4 x 28"" (66.7 x 71.1 cm)",,Architecture & Design,Mies van der Rohe Archive,66.67513335,71.12014224,,
"Wolf House, Gubin, Poland (Second and third floor plans [final version])",Ludwig Mies van der Rohe,1925,Pencil on tracing paper,"16 1/4 x 17 3/4"" (41.3 x 45.1 cm)",,Architecture & Design,Mies van der Rohe Archive,41.27508255,45.08509017,,
"Wolf House, Gubin, Poland (Basement plan [final version])",Ludwig Mies van der Rohe,1925,Pencil on tracing paper,"27 3/4 x 28 1/2"" (70.5 x 72.4 cm)",,Architecture & Design,Mies van der Rohe Archive,70.48514097,72.39014478,,
"Wolf House, Gubin, Poland (Second floor plan [final version])",Ludwig Mies van der Rohe,1925,Print,"21 1/4 x 20 1/4"" (54 x 51.4 cm)",,Architecture & Design,Mies van der Rohe Archive,53.97510795,51.43510287,,
"Wolf House, Gubin, Poland (Third floor plan [final version])",Ludwig Mies van der Rohe,1925,Print,"13 3/4 x 13 1/4"" (34.9 x 33.7 cm)",,Architecture & Design,Mies van der Rohe Archive,34.92506985,33.65506731,,
"Wolf House, Gubin, Poland (Basement plan)",Ludwig Mies van der Rohe,1925,Print,"16 x 16"" (40.6 x 40.6 cm)",,Architecture & Design,Mies van der Rohe Archive,40.64008128,40.64008128,,
"Wolf House, Gubin, Poland (Basement plan [final version])",Ludwig Mies van der Rohe,1925,Print,"16 x 15 1/4"" (40.6 x 38.7 cm)",,Architecture & Design,Mies van der Rohe Archive,40.64008128,38.73507747,,
"Wolf House, Gubin, Poland (Basement plan [final version])",Ludwig Mies van der Rohe,1925,Print,"16 x 15 1/4"" (40.6 x 38.7 cm)",,Architecture & Design,Mies van der Rohe Archive,40.64008128,38.73507747,,
"Wolf House, Gubin, Poland (Basement plan [final version])",Ludwig Mies van der Rohe,1925,Print,"17 x 18 3/4"" (43.2 x 47.6 cm)",,Architecture & Design,Mies van der Rohe Archive,43.18008636,47.62509525,,
"Wolf House, Gubin, Poland (Sections: typical walls)",Ludwig Mies van der Rohe,1925,Print,"8 1/4 x 13"" (21 x 33 cm)",,Architecture & Design,Mies van der Rohe Archive,20.95504191,33.02006604,,
"Wolf House, Gubin, Poland (Section: all floors)",Ludwig Mies van der Rohe,1925,Print,"8 1/4 x 13"" (21 x 33 cm)",,Architecture & Design,Mies van der Rohe Archive,20.95504191,33.02006604,,
"Wolf House, Gubin, Poland (Basement plan [final version])",Ludwig Mies van der Rohe,1925,Pencil on print,"27 3/4 x 28 1/2"" (70.5 x 72.4 cm)",,Architecture & Design,Mies van der Rohe Archive,70.48514097,72.39014478,,
"Wolf House, Gubin, Poland (Elevation, plans, section. Ground, second floor and right half of east side)",Ludwig Mies van der Rohe,1925,Print,"25 x 46 3/4"" (63.5 x 118.7 cm)",,Architecture & Design,Mies van der Rohe Archive,63.500127,118.7452375,,
"Wolf House, Gubin, Poland (Ground floor plan [final version])",Ludwig Mies van der Rohe,1925,Print,"27 3/4 x 28 1/4"" (70.5 x 71.8 cm)",,Architecture & Design,Mies van der Rohe Archive,70.48514097,71.75514351,,
"Wolf House, Gubin, Poland (Plan: ground floor entrance area)",Ludwig Mies van der Rohe,1925,Pencil on tracing paper,"32 3/4 x 22"" (83.2 x 55.9 cm)",,Architecture & Design,Mies van der Rohe Archive,83.18516637,55.88011176,,
"Wolf House, Gubin, Poland (Elevation and plan: ground, second, third floors)",Ludwig Mies van der Rohe,1925,Pencil on tracing paper,"28 1/4 x 36 1/2"" (71.8 x 92.7 cm)",,Architecture & Design,Mies van der Rohe Archive,71.75514351,92.71018542,,
"Wolf House, Gubin, Poland (Elevation and plan: ground floor [north side])",Ludwig Mies van der Rohe,1925,Pencil on tracing paper,"26 1/4 x 31 3/4"" (66.7 x 80.6 cm)",,Architecture & Design,Mies van der Rohe Archive,66.67513335,80.64516129,,
"Wolf House, Gubin, Poland (Elevation: second and third floors)",Ludwig Mies van der Rohe,1925,Pencil on tracing paper,"16 1/2 x 27 1/2"" (41.9 x 69.9 cm)",,Architecture & Design,Mies van der Rohe Archive,41.91008382,69.8501397,,
"Wolf House, Gubin, Poland (Elevation and plans: ground and second floors)",Ludwig Mies van der Rohe,1925,Pencil on tracing paper,"25 1/2 x 45 1/2"" (64.8 x 115.6 cm)",,Architecture & Design,Mies van der Rohe Archive,64.77012954,115.5702311,,
"Wolf House, Gubin, Poland (Elevation: ground floor)",Ludwig Mies van der Rohe,1925,Pencil on tracing paper,"18 x 24 3/4"" (45.7 x 62.9 cm)",,Architecture & Design,Mies van der Rohe Archive,45.72009144,62.86512573,,
"Wolf House, Gubin, Poland (Elevation: second and third floors)",Ludwig Mies van der Rohe,1925,Pencil on tracing paper,"17 1/4 x 27 1/4"" (43.8 x 69.2 cm)",,Architecture & Design,Mies van der Rohe Archive,43.81508763,69.21513843,,
"Wolf House, Gubin, Poland (Sections and elevation: window frames)",Ludwig Mies van der Rohe,1925,Print,"18 1/2 x 20 1/2"" (47 x 52.1 cm)",,Architecture & Design,Mies van der Rohe Archive,46.99009398,52.07010414,,
"Wolf House, Gubin, Poland (Sections: door frames)",Ludwig Mies van der Rohe,1925,Print,"8 1/4 x 17 1/4"" (21 x 43.8 cm)",,Architecture & Design,Mies van der Rohe Archive,20.95504191,43.81508763,,
"Wolf House, Gubin, Poland (Elevation: door frames)",Ludwig Mies van der Rohe,1925,Print,"9 1/4 x 14 1/4"" (23.5 x 36.2 cm)",,Architecture & Design,Mies van der Rohe Archive,23.49504699,36.19507239,,
"Wolf House, Gubin, Poland (Sections and plan: balcony railing)",Ludwig Mies van der Rohe,1925,Print,"26 1/4 x 35 1/2"" (66.7 x 90.2 cm)",,Architecture & Design,Mies van der Rohe Archive,66.67513335,90.17018034,,
"Wolf House, Gubin, Poland (Section and plan: wall vitrine)",Ludwig Mies van der Rohe,1925,Pencil and colored pencil on tracing paper,"30 1/2 x 34 1/2"" (77.5 x 87.6 cm)",,Architecture & Design,Mies van der Rohe Archive,77.47015494,87.63017526,,
"Wolf House, Gubin, Poland (Elevation and plan. Garden shed and pergola.)",Ludwig Mies van der Rohe,1925,Pencil on tracing paper,"19 1/2 x 27 1/2"" (49.5 x 69.9 cm)",,Architecture & Design,Mies van der Rohe Archive,49.53009906,69.8501397,,
"Wolf House, Gubin, Poland (Elevation, section, plan. Built-in vitrine.)",Ludwig Mies van der Rohe,1925,Pencil on tracing paper,"24 1/2 x 19 1/4"" (62.2 x 48.9 cm)",,Architecture & Design,Mies van der Rohe Archive,62.23012446,48.89509779,,
"Wolf House, Gubin, Poland (Elevations. Ground-floor terrace doors.)",Ludwig Mies van der Rohe,1925,Pencil on tracing paper,"10 3/4 x 22 3/4"" (27.3 x 57.8 cm)",,Architecture & Design,Mies van der Rohe Archive,27.30505461,57.78511557,,
